accident_year,DY1,DY2,DY3,DY4,DY5,DY6,DY7,DY8,DY9,DY10
1,88827741.311,176762155.7666,196541509.9366,207008841.5955,212679260.5155,215400720.23950002,218467238.50950003,219935635.5995,221133644.44950002,221978958.6395
2,74973889.14609998,154765669.8904,177066343.8554,185893858.8694,191779078.4434,193770868.3274,195058134.20139998,195761011.9314,196007407.98940003,196429721.1794
3,68440400.51370001,158828110.0172,182149927.72820002,190126973.8386,193996817.7586,196365772.4806,199176700.9206,199908963.56260002,201746394.48259997,202168043.2626
4,68643195.67390001,150539372.4007,177606646.72280002,185785066.9308,189092539.73579997,190823876.4458,193360536.2068,194521957.61479998,195081212.9048,195828417.1848
5,69039106.539,173299594.08029997,194159953.40530002,203436209.9517,207648193.7847,209296818.9937,211270787.33110002,211858693.07209998,212848979.6521,212941033.5321
6,64067238.4688,151186359.6738,182063223.8458,188158763.8168,199477740.5578,201884210.3278,202328313.92180002,205419494.5578,206000844.0478,209388949.9578
7,64577288.64900001,147541382.755,171763540.166,179776541.745,182084611.117,184125048.717,186130982.652,191371810.525,191560042.325,191660681.045
8,67866464.0243,151530097.9147,186348086.7787,193150441.7267,200822500.46670002,203164420.0437,204720573.5367,205476467.85369998,207073905.0537,207371047.6137
9,72422230.48550001,157905209.59179997,179697786.0202,184348287.2622,187846336.8842,189671427.9682,190724683.62820002,192803371.82819998,192986408.16820002,193634356.1882
10,68286305.094,153318692.863,180879002.499,191221459.588,195142564.35599998,198725994.316,199311345.206,199797738.12,201080366.34999996,201194892.95
