method,DY2_M,DY3_M,DY4_M,DY5_M,DY6_M,DY7_M,DY8_M,DY9_M,DY10_M,DY2_6_M,DY7_10_M,total_M,total_pct
random_forest__per_dy__log1p__two_stage,7.051527325609751,52.47732207683227,69.39183728058474,13.91409514039897,6.840738100070622,-35.29230731901565,-45.711787622779745,-16.450555255365124,-38.0492724856537,149.67551992349635,-135.50392268281422,14.171597240682186,3.9027402328645433
random_forest__single_model__log1p__include_zeros,-22.24209796972639,-1.4630230163942204,4.259140191221178,11.995651405382082,5.199608323109325,-13.307131641728905,-15.373271616183292,12.270820086207317,-8.387615046631224,-2.250721066408027,-24.797198218336106,-27.047919284744143,-7.4487724294627355
random_forest__per_dy__raw__two_stage,9.114658436568536,60.14267708586757,62.59393091354617,50.25561416484122,113.30021030217605,0.28034204566174,-45.04244984514865,-15.442134023423646,-38.041758375466664,295.4070909029996,-98.24600019837722,197.1610907046222,54.29652762354002
random_forest__per_dy__raw__include_zeros,6.9650372431408245,63.171976647737296,71.27539592948906,48.63905682281186,113.6248248485207,17.204301649609736,-43.84416138571331,-16.014684133219262,-38.03129098666666,303.6762914916997,-80.6858348559895,222.9904566357103,61.40972057537315
random_forest__per_dy__log1p__include_zeros,-36.817461866253495,-29.90105594640208,-21.115694600295274,-18.989142786098384,-28.00180279604183,-46.55176968770843,-47.18916994010045,-18.31694897333802,-38.14606122910808,-134.82515799509105,-150.20394983025497,-285.02910782534605,-78.49465009167274
chain_ladder,96.19062346134012,87.22620834017653,70.01109720308582,61.81780566058451,57.234069110641165,28.137477300528936,-37.75132691248053,-13.718423317588874,-37.24681359495278,372.4798037758282,-60.57908652449325,311.90071725133487,85.89486824969174
random_forest__single_model__log1p__two_stage,9.4139753989648,56.09735511785134,69.09451039439557,86.66897317638832,77.82837964713282,64.09040795071817,60.1810720994424,80.64153910252051,58.51874904641405,299.1031937347329,263.43176819909513,562.5349619338281,154.9174585649169
random_forest__single_model__raw__two_stage,3.241835251717456,59.19206249820547,67.98913407493424,88.22940081615475,83.47846371314874,71.12726649854083,72.2764858284003,101.06375081669864,78.73763514298126,302.13089635416065,323.20513828662104,625.3360346407817,172.21235263775188
random_forest__single_model__raw__include_zeros,3.264702584825285,57.37924374053036,78.01606868372754,94.57941915077294,96.33867248937916,86.03512682244265,93.35905243812111,128.74817607872595,112.06498130484522,329.5781066492352,420.20733664413495,749.7854432933705,206.48468664893764
