method,h,pred_M,true_M,err_M,err_pct,share_of_true_pct
random_forest__per_dy__log1p__two_stage,1,139.07703133831637,140.46061414,-1.3835828016836047,-0.9850325731201482,38.68168708347032
random_forest__per_dy__log1p__two_stage,2,105.84935867680765,46.64537425,59.20398442680766,126.92359184320975,12.845748836264233
random_forest__per_dy__log1p__two_stage,3,75.8917688785141,42.86738251,33.0243863685141,77.0384950861188,11.805321274521154
random_forest__per_dy__log1p__two_stage,4,34.971369011536446,52.07004183,-17.098672818463548,-32.83783192317737,14.339657254265731
random_forest__per_dy__log1p__two_stage,5,18.665026791251883,51.6777923,-33.01276550874812,-63.88191917546004,14.231634990010392
random_forest__per_dy__log1p__two_stage,6,2.7673890301262296,17.99960347,-15.23221443987377,-84.62527780271023,4.956941369764444
random_forest__per_dy__log1p__two_stage,7,0.05969040506310247,4.6924157,-4.632725294936898,-98.7279386806437,1.2922523291265695
random_forest__per_dy__log1p__two_stage,8,0.009115169066333393,6.080143,-6.071027830933667,-99.85008298215463,1.6744209071614453
random_forest__per_dy__log1p__two_stage,9,0.0,0.62578486,-0.62578486,-100.0,0.1723359554157029
random_forest__single_model__log1p__include_zeros,1,60.131509665682145,140.46061414,-80.32910447431784,-57.18977164249914,38.68168708347032
random_forest__single_model__log1p__include_zeros,2,46.98468696203686,46.64537425,0.339312712036863,0.7274305705390776,12.845748836264233
random_forest__single_model__log1p__include_zeros,3,42.51331779067353,42.86738251,-0.3540647193264663,-0.825953670588287,11.805321274521154
random_forest__single_model__log1p__include_zeros,4,36.78676605209864,52.07004183,-15.283275777901359,-29.351379873668442,14.339657254265731
random_forest__single_model__log1p__include_zeros,5,34.11973263736343,51.6777923,-17.55805966263657,-33.976025060645966,14.231634990010392
random_forest__single_model__log1p__include_zeros,6,32.42015797578028,17.99960347,14.420554505780276,80.11595660879453,4.956941369764444
random_forest__single_model__log1p__include_zeros,7,30.99232533499663,4.6924157,26.29990963499663,560.4769763897224,1.2922523291265695
random_forest__single_model__log1p__include_zeros,8,28.864602773520566,6.080143,22.784459773520567,374.73559048727253,1.6744209071614453
random_forest__single_model__log1p__include_zeros,9,23.258133583103795,0.62578486,22.632348723103796,3616.634113376248,0.1723359554157029
random_forest__per_dy__raw__two_stage,1,165.59096251030192,140.46061414,25.13034837030193,17.891384374308657,38.68168708347032
random_forest__per_dy__raw__two_stage,2,141.5255996970942,46.64537425,94.8802254470942,203.40757679116314,12.845748836264233
random_forest__per_dy__raw__two_stage,3,97.89028612240416,42.86738251,55.02290361240416,128.35610758265577,11.805321274521154
random_forest__per_dy__raw__two_stage,4,74.65374927801132,52.07004183,22.583707448011324,43.371786644119396,14.339657254265731
random_forest__per_dy__raw__two_stage,5,70.12552436455624,51.6777923,18.44773206455624,35.69760092974452,14.231634990010392
random_forest__per_dy__raw__two_stage,6,10.372741989753361,17.99960347,-7.626861480246637,-42.37238610816262,4.956941369764444
random_forest__per_dy__raw__two_stage,7,0.1074841022539641,4.6924157,-4.584931597746036,-97.70940792278988,1.2922523291265695
random_forest__per_dy__raw__two_stage,8,0.013894700247188665,6.080143,-6.066248299752811,-99.77147412080294,1.6744209071614453
random_forest__per_dy__raw__two_stage,9,0.0,0.62578486,-0.62578486,-100.0,0.1723359554157029
random_forest__per_dy__raw__include_zeros,1,170.09775371358825,140.46061414,29.637139573588254,21.099964395747485,38.68168708347032
random_forest__per_dy__raw__include_zeros,2,142.815278294562,46.64537425,96.16990404456202,206.1724352968655,12.845748836264233
random_forest__per_dy__raw__include_zeros,3,105.75095963898605,42.86738251,62.883577128986055,146.69329790387067,11.805321274521154
random_forest__per_dy__raw__include_zeros,4,73.01985592515034,52.07004183,20.949814095150337,40.233910630508014,14.339657254265731
random_forest__per_dy__raw__include_zeros,5,77.24127812438229,51.6777923,25.56348582438229,49.46706251687593,14.231634990010392
random_forest__per_dy__raw__include_zeros,6,17.030031949807697,17.99960347,-0.9695715201923027,-5.386627109915454,4.956941369764444
random_forest__per_dy__raw__include_zeros,7,0.13634837920068932,4.6924157,-4.55606732079931,-97.09428175341138,1.2922523291265695
random_forest__per_dy__raw__include_zeros,8,0.018102670032896836,6.080143,-6.062040329967103,-99.70226571919613,1.6744209071614453
random_forest__per_dy__raw__include_zeros,9,0.0,0.62578486,-0.62578486,-100.0,0.1723359554157029
random_forest__per_dy__log1p__include_zeros,1,31.145625225914287,140.46061414,-109.3149889140857,-77.82607927737607,38.68168708347032
random_forest__per_dy__log1p__include_zeros,2,19.0183183519116,46.64537425,-27.6270558980884,-59.22785772929756,12.845748836264233
random_forest__per_dy__log1p__include_zeros,3,18.060735312448717,42.86738251,-24.806647197551282,-57.868350585120155,11.805321274521154
random_forest__per_dy__log1p__include_zeros,4,6.389053032349066,52.07004183,-45.68098879765093,-87.72988688350154,14.339657254265731
random_forest__per_dy__log1p__include_zeros,5,3.265974310694353,51.6777923,-48.411817989305646,-93.68012028893435,14.231634990010392
