dev_lag,pred_M,true_M,err_M
2,118.53873556045218,62.68566093,55.85307463045218
3,95.96130128253374,46.54336899000001,49.41793229253373
4,76.65488022568105,42.12732792,34.52755230568105
5,46.8529084708789,28.199185879999998,18.6537225908789
6,20.247027218746908,32.740846700000006,-12.493819481253094
7,8.87634437353164,47.094921510000006,-38.21857713646837
8,2.0086391014892024,47.23583118,-45.2271920785108
9,1.1360266999910236,18.33899585,-17.202969150008975
10,0.07421399221414102,38.1530131,-38.078799107785855
