claim_type,own_factors,cl_cohort_type,true_rbns,err_pct
Annuity,False,16016535.569391113,182564077.83,-91.22689646300222
Bodily,True,174385206.2910983,96960236.35,79.85229085211311
Lost,False,17638.50731615493,0.0,inf
Material,True,150888661.59419304,63177481.839999996,138.83297845951793
Remaining,False,855470.334392491,364404.33999999997,134.75854716562682
Technical,True,28186564.629127704,20052951.700000003,40.56067680613673
